Company Name,Website,Industry,LinkedIn URL,Website Summary
Zapier,zapier.com,SaaS,,
Miro,miro.com,SaaS,https://www.linkedin.com/company/mirohq,"Miro | The Innovation Workspace Miro is the innovation workspace where teams manage projects, design products, and build the future together. Join 90M+ users from around the world. Innovation, redefined"
Notion,notion.so,SaaS,https://www.linkedin.com/company/notionhq/,"The AI workspace that works for you. | Notion A tool that connects everyday work into one space. It gives you and your teams AI tools—search, writing, note-taking—inside an all-in-one, flexible workspace. The AI workspace that works for you."
HubSpot,hubspot.com,CRM,,
Mailchimp,mailchimp.com,Marketing,https://www.linkedin.com/company/mailchimp,"Marketing, Automation & Email Platform | Mailchimp Use real-time behavior data and AI to convert more customers with Mailchimp's marketing, automation & email marketing platform. Easy to use - start for free! Turn Emails into Revenue"
Figma,figma.com,Design Software,,
Slack,slack.com,Communication,,
Asana,asana.com,Productivity,,
Canva,canva.com,Design,,
 monday.com,monday.com,Project Management,https://www.linkedin.com/company/2525169,"monday.com Work Platform | Made For Work, Designed To Love Streamline workflows across projects, CRM, IT, and development and gain clear visibility to make strategic decisions with confidence. Made for work, designed to love"
ClickUp,clickup.com,Project Management,https://www.linkedin.com/company/12949663,"ClickUpâ¢ | The everything app for work Our mission is to make the world more productive. To do this, we built the everything app for work - Tasks, Docs, Goals, and Chat. The everything app, for work"
Zoom,zoom.us,Communication,https://www.linkedin.com/company/zoom,"One platform to connect | Zoom Modernize workflows with Zoom's trusted collaboration tools: including video meetings, team chat, VoIP phone, webinars, whiteboard, contact center, and events."
Stripe,stripe.com,Fintech,https://www.linkedin.com/company/stripe/,Stripe | Financial Infrastructure to Grow Your Revenue Stripe is a suite of APIs powering online payment processing and commerce solutions for internet businesses of all sizes. Accept payments and scale faster with AI. Stripe logo
Shopify,shopify.com,E-commerce,,
Grammarly,grammarly.com,AI Writing Assistant,https://www.linkedin.com/company/grammarly,Grammarly: Free AI Writing Assistance Grammarly makes AI writing convenient. Work smarter with personalized AI guidance and text generation on any app or website. Responsible AI that ensures your writing and reputation shine
Pipedrive,pipedrive.com,CRM,,
Airtable,airtable.com,Low-code,https://linkedin.com/company/airtable,Airtable: AI App Building for Enterprise - Airtable Airtable is the AI-native platform for building trusted AI apps to accelerate business operations and deploy embedded AI agents at enterprise scale. From idea to app in an instant Build with AI that
Typeform,typeform.com,Forms & Surveys,https://www.linkedin.com/company/typeform-com/,"Typeform: People-Friendly Forms and Surveys Build beautiful, interactive forms â get more responses. No coding needed. Templates for quizzes, research, feedback, lead generation, and more. Sign up FREE. Get to know your customers with forms worth f"
Wix,wix.com,Website Builder,,
